Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,65,5,Some Random Commen with Id 0
1,0,4,65,1,Some Random Commen with Id 1
2,0,4,162,3,Some Random Commen with Id 2
3,0,4,178,3,Some Random Commen with Id 3
4,0,4,52,4,Some Random Commen with Id 4
5,0,4,143,1,Some Random Commen with Id 5
6,1,3,57,0,Some Random Commen with Id 6
7,1,3,104,1,Some Random Commen with Id 7
8,1,3,109,2,Some Random Commen with Id 8
9,1,3,33,8,Some Random Commen with Id 9
10,1,3,52,3,Some Random Commen with Id 10
11,1,3,82,6,Some Random Commen with Id 11
12,2,3,43,9,Some Random Commen with Id 12
13,2,3,30,6,Some Random Commen with Id 13
14,3,8,41,4,Some Random Commen with Id 14
15,3,8,56,7,Some Random Commen with Id 15
16,3,8,139,9,Some Random Commen with Id 16
17,3,8,60,7,Some Random Commen with Id 17
18,4,8,137,3,Some Random Commen with Id 18
19,4,8,34,0,Some Random Commen with Id 19
20,4,8,84,8,Some Random Commen with Id 20
21,5,9,104,9,Some Random Commen with Id 21
22,5,9,68,3,Some Random Commen with Id 22
23,5,9,1,2,Some Random Commen with Id 23
24,5,9,29,0,Some Random Commen with Id 24
25,5,9,25,1,Some Random Commen with Id 25
26,5,9,107,5,Some Random Commen with Id 26
27,5,9,122,4,Some Random Commen with Id 27
28,5,9,25,6,Some Random Commen with Id 28
29,6,4,76,6,Some Random Commen with Id 29
30,6,4,44,0,Some Random Commen with Id 30
31,6,4,193,7,Some Random Commen with Id 31
32,6,4,114,8,Some Random Commen with Id 32
33,6,4,149,2,Some Random Commen with Id 33
34,6,4,16,9,Some Random Commen with Id 34
35,6,4,6,8,Some Random Commen with Id 35
36,6,4,149,3,Some Random Commen with Id 36
37,7,4,19,3,Some Random Commen with Id 37
38,7,4,33,4,Some Random Commen with Id 38
39,7,4,85,1,Some Random Commen with Id 39
40,7,4,76,6,Some Random Commen with Id 40
41,7,4,48,0,Some Random Commen with Id 41
42,7,4,21,2,Some Random Commen with Id 42
43,7,4,114,4,Some Random Commen with Id 43
44,7,4,113,7,Some Random Commen with Id 44
45,8,3,24,4,Some Random Commen with Id 45
46,10,5,74,5,Some Random Commen with Id 46
47,10,5,49,2,Some Random Commen with Id 47
48,10,5,66,6,Some Random Commen with Id 48
49,10,5,120,3,Some Random Commen with Id 49
50,10,5,10,6,Some Random Commen with Id 50
51,10,5,43,6,Some Random Commen with Id 51
52,11,8,20,3,Some Random Commen with Id 52
53,11,8,85,0,Some Random Commen with Id 53
54,11,8,33,7,Some Random Commen with Id 54
55,11,8,102,5,Some Random Commen with Id 55
56,11,8,143,1,Some Random Commen with Id 56
57,11,8,195,7,Some Random Commen with Id 57
58,11,8,7,5,Some Random Commen with Id 58
59,11,8,153,5,Some Random Commen with Id 59
60,12,8,156,5,Some Random Commen with Id 60
61,12,8,167,7,Some Random Commen with Id 61
62,14,1,155,3,Some Random Commen with Id 62
63,14,1,169,7,Some Random Commen with Id 63
64,14,1,49,1,Some Random Commen with Id 64
65,15,8,157,0,Some Random Commen with Id 65
66,15,8,24,5,Some Random Commen with Id 66
67,15,8,153,2,Some Random Commen with Id 67
68,15,8,73,4,Some Random Commen with Id 68
69,15,8,154,4,Some Random Commen with Id 69
70,15,8,12,4,Some Random Commen with Id 70
71,16,4,197,6,Some Random Commen with Id 71
72,16,4,171,2,Some Random Commen with Id 72
73,16,4,154,0,Some Random Commen with Id 73
74,16,4,138,1,Some Random Commen with Id 74
75,16,4,133,4,Some Random Commen with Id 75
76,16,4,146,2,Some Random Commen with Id 76
77,17,7,128,1,Some Random Commen with Id 77
78,17,7,139,3,Some Random Commen with Id 78
79,18,2,0,3,Some Random Commen with Id 79
80,18,2,104,4,Some Random Commen with Id 80
81,18,2,28,5,Some Random Commen with Id 81
82,18,2,113,4,Some Random Commen with Id 82
83,18,2,41,0,Some Random Commen with Id 83
84,19,0,134,6,Some Random Commen with Id 84
85,19,0,34,0,Some Random Commen with Id 85
86,19,0,120,1,Some Random Commen with Id 86
87,19,0,147,4,Some Random Commen with Id 87
88,19,0,26,9,Some Random Commen with Id 88
89,19,0,18,3,Some Random Commen with Id 89
90,19,0,45,1,Some Random Commen with Id 90
91,19,0,118,4,Some Random Commen with Id 91
92,20,4,158,3,Some Random Commen with Id 92
93,20,4,116,4,Some Random Commen with Id 93
94,20,4,5,8,Some Random Commen with Id 94
95,20,4,4,7,Some Random Commen with Id 95
96,20,4,4,6,Some Random Commen with Id 96
97,20,4,132,4,Some Random Commen with Id 97
98,21,8,100,1,Some Random Commen with Id 98
99,21,8,199,5,Some Random Commen with Id 99
100,21,8,195,2,Some Random Commen with Id 100
101,22,8,125,6,Some Random Commen with Id 101
102,22,8,184,1,Some Random Commen with Id 102
103,22,8,27,3,Some Random Commen with Id 103
104,22,8,86,6,Some Random Commen with Id 104
105,23,7,46,2,Some Random Commen with Id 105
106,23,7,168,5,Some Random Commen with Id 106
107,23,7,6,0,Some Random Commen with Id 107
108,23,7,172,2,Some Random Commen with Id 108
109,23,7,167,2,Some Random Commen with Id 109
110,23,7,127,5,Some Random Commen with Id 110
111,24,5,36,7,Some Random Commen with Id 111
112,24,5,84,7,Some Random Commen with Id 112
113,24,5,48,6,Some Random Commen with Id 113
114,24,5,22,4,Some Random Commen with Id 114
115,25,5,49,4,Some Random Commen with Id 115
116,25,5,53,3,Some Random Commen with Id 116
117,25,5,92,6,Some Random Commen with Id 117
118,26,9,105,6,Some Random Commen with Id 118
119,27,6,87,5,Some Random Commen with Id 119
120,27,6,104,0,Some Random Commen with Id 120
121,27,6,118,6,Some Random Commen with Id 121
122,27,6,8,6,Some Random Commen with Id 122
123,27,6,199,4,Some Random Commen with Id 123
124,27,6,33,8,Some Random Commen with Id 124
125,27,6,190,2,Some Random Commen with Id 125
126,28,0,160,4,Some Random Commen with Id 126
127,28,0,199,4,Some Random Commen with Id 127
128,28,0,142,4,Some Random Commen with Id 128
129,28,0,70,4,Some Random Commen with Id 129
130,28,0,188,4,Some Random Commen with Id 130
131,28,0,108,3,Some Random Commen with Id 131
132,28,0,139,0,Some Random Commen with Id 132
133,29,6,154,4,Some Random Commen with Id 133
134,29,6,133,2,Some Random Commen with Id 134
135,29,6,76,1,Some Random Commen with Id 135
136,29,6,74,3,Some Random Commen with Id 136
137,30,6,80,2,Some Random Commen with Id 137
138,30,6,121,7,Some Random Commen with Id 138
139,30,6,154,9,Some Random Commen with Id 139
140,30,6,22,3,Some Random Commen with Id 140
141,30,6,6,1,Some Random Commen with Id 141
142,30,6,94,8,Some Random Commen with Id 142
143,31,1,75,2,Some Random Commen with Id 143
144,32,8,112,0,Some Random Commen with Id 144
145,32,8,84,5,Some Random Commen with Id 145
146,32,8,93,3,Some Random Commen with Id 146
147,32,8,31,1,Some Random Commen with Id 147
148,33,8,40,5,Some Random Commen with Id 148
149,33,8,78,1,Some Random Commen with Id 149
150,33,8,197,1,Some Random Commen with Id 150
151,33,8,89,3,Some Random Commen with Id 151
152,33,8,173,6,Some Random Commen with Id 152
153,33,8,14,2,Some Random Commen with Id 153
154,33,8,156,9,Some Random Commen with Id 154
155,34,9,140,7,Some Random Commen with Id 155
156,34,9,148,4,Some Random Commen with Id 156
157,35,0,51,2,Some Random Commen with Id 157
158,36,2,91,7,Some Random Commen with Id 158
159,36,2,185,5,Some Random Commen with Id 159
160,36,2,136,6,Some Random Commen with Id 160
161,36,2,40,9,Some Random Commen with Id 161
162,36,2,189,1,Some Random Commen with Id 162
163,36,2,147,8,Some Random Commen with Id 163
164,36,2,113,1,Some Random Commen with Id 164
165,37,3,28,9,Some Random Commen with Id 165
166,37,3,132,2,Some Random Commen with Id 166
167,37,3,147,4,Some Random Commen with Id 167
168,37,3,18,5,Some Random Commen with Id 168
169,37,3,123,6,Some Random Commen with Id 169
170,38,6,74,9,Some Random Commen with Id 170
171,38,6,193,1,Some Random Commen with Id 171
172,38,6,48,5,Some Random Commen with Id 172
173,38,6,88,7,Some Random Commen with Id 173
174,39,9,29,6,Some Random Commen with Id 174
175,39,9,29,0,Some Random Commen with Id 175
176,39,9,102,7,Some Random Commen with Id 176
177,39,9,78,5,Some Random Commen with Id 177
178,39,9,62,0,Some Random Commen with Id 178
179,39,9,194,9,Some Random Commen with Id 179
180,39,9,66,6,Some Random Commen with Id 180
181,39,9,48,1,Some Random Commen with Id 181
182,39,9,46,5,Some Random Commen with Id 182
